company_short,year,bertopic_topic,topic_chunk_count,total_valid_chunks,topic_proportion
ASOS,2024,38,3,117,0.02564102564102564
ASOS,2024,39,1,117,0.008547008547008548
ASOS,2024,40,3,117,0.02564102564102564
ASOS,2024,43,2,117,0.017094017094017096
ASOS,2024,44,1,117,0.008547008547008548
ASOS,2024,45,1,117,0.008547008547008548
ASOS,2024,47,2,117,0.017094017094017096
ASOS,2024,50,1,117,0.008547008547008548
ASOS,2024,52,5,117,0.042735042735042736
ASOS,2024,53,1,117,0.008547008547008548
ASOS,2024,55,1,117,0.008547008547008548
ASOS,2024,56,1,117,0.008547008547008548
BOOHOO,2019,0,12,43,0.27906976744186046
BOOHOO,2019,3,2,43,0.046511627906976744
BOOHOO,2019,4,2,43,0.046511627906976744
BOOHOO,2019,5,1,43,0.023255813953488372
BOOHOO,2019,11,1,43,0.023255813953488372
BOOHOO,2019,12,2,43,0.046511627906976744
BOOHOO,2019,15,2,43,0.046511627906976744
BOOHOO,2019,17,1,43,0.023255813953488372
BOOHOO,2019,18,1,43,0.023255813953488372
BOOHOO,2019,23,2,43,0.046511627906976744
BOOHOO,2019,25,2,43,0.046511627906976744
BOOHOO,2019,26,1,43,0.023255813953488372
BOOHOO,2019,28,1,43,0.023255813953488372
BOOHOO,2019,34,1,43,0.023255813953488372
BOOHOO,2019,35,1,43,0.023255813953488372
BOOHOO,2019,40,1,43,0.023255813953488372
BOOHOO,2019,42,4,43,0.09302325581395349
BOOHOO,2019,43,1,43,0.023255813953488372
BOOHOO,2019,44,2,43,0.046511627906976744
BOOHOO,2019,55,1,43,0.023255813953488372
BOOHOO,2019,56,1,43,0.023255813953488372
BOOHOO,2019,58,1,43,0.023255813953488372
BOOHOO,2020,0,11,52,0.21153846153846154
BOOHOO,2020,3,1,52,0.019230769230769232
BOOHOO,2020,4,2,52,0.038461538461538464
BOOHOO,2020,7,1,52,0.019230769230769232
BOOHOO,2020,8,2,52,0.038461538461538464
BOOHOO,2020,9,1,52,0.019230769230769232
BOOHOO,2020,11,3,52,0.057692307692307696
BOOHOO,2020,12,1,52,0.019230769230769232
BOOHOO,2020,15,1,52,0.019230769230769232
BOOHOO,2020,16,2,52,0.038461538461538464
BOOHOO,2020,17,1,52,0.019230769230769232
BOOHOO,2020,18,2,52,0.038461538461538464
BOOHOO,2020,23,1,52,0.019230769230769232
BOOHOO,2020,25,3,52,0.057692307692307696
BOOHOO,2020,28,1,52,0.019230769230769232
BOOHOO,2020,30,1,52,0.019230769230769232
BOOHOO,2020,33,1,52,0.019230769230769232
BOOHOO,2020,35,3,52,0.057692307692307696
BOOHOO,2020,40,1,52,0.019230769230769232
BOOHOO,2020,42,9,52,0.17307692307692307
BOOHOO,2020,43,2,52,0.038461538461538464
BOOHOO,2020,49,1,52,0.019230769230769232
BOOHOO,2020,58,1,52,0.019230769230769232
BOOHOO,2021,0,14,54,0.25925925925925924
BOOHOO,2021,3,3,54,0.05555555555555555
