company_short,year,topic_0_proportion,topic_1_proportion,topic_2_proportion,topic_3_proportion,topic_4_proportion,topic_5_proportion,topic_6_proportion,topic_7_proportion,topic_8_proportion,topic_9_proportion,topic_10_proportion,topic_11_proportion,topic_12_proportion,topic_13_proportion,topic_14_proportion,topic_15_proportion,topic_16_proportion,topic_17_proportion,topic_18_proportion,topic_19_proportion,topic_20_proportion,topic_21_proportion,topic_22_proportion,topic_23_proportion,topic_24_proportion,topic_25_proportion,topic_26_proportion,topic_27_proportion,topic_28_proportion,topic_29_proportion,topic_30_proportion,topic_31_proportion,topic_32_proportion,topic_33_proportion,topic_34_proportion,topic_35_proportion,topic_36_proportion,topic_37_proportion,topic_38_proportion,topic_39_proportion,topic_40_proportion,topic_41_proportion,topic_42_proportion,topic_43_proportion,topic_44_proportion,topic_45_proportion,topic_46_proportion,topic_47_proportion,topic_48_proportion,topic_49_proportion,topic_50_proportion,topic_51_proportion,topic_52_proportion,topic_53_proportion,topic_54_proportion,topic_55_proportion,topic_56_proportion,topic_57_proportion,topic_58_proportion,topic_59_proportion,topic_60_proportion
BOOHOO,2023,0.2328767123287671,0.0136986301369863,0.0,0.0410958904109589,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0410958904109589,0.0136986301369863,0.0684931506849315,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0273972602739726,0.0547945205479452,0.0,0.0273972602739726,0.0,0.0410958904109589,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0410958904109589,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.0684931506849315,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0,0.0
BOOHOO,2024,0.22666666666666666,0.013333333333333334,0.013333333333333334,0.05333333333333334,0.0,0.0,0.0,0.013333333333333334,0.04,0.0,0.06666666666666667,0.0,0.04,0.0,0.013333333333333334,0.0,0.02666666666666667,0.0,0.013333333333333334,0.0,0.06666666666666667,0.04,0.0,0.013333333333333334,0.0,0.04,0.0,0.0,0.04,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.02666666666666667,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.06666666666666667,0.02666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.02666666666666667,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0
JD,2019,0.10989010989010989,0.08791208791208792,0.01098901098901099,0.02197802197802198,0.054945054945054944,0.0,0.12087912087912088,0.01098901098901099,0.02197802197802198,0.01098901098901099,0.0,0.04395604395604396,0.01098901098901099,0.0,0.03296703296703297,0.01098901098901099,0.03296703296703297,0.01098901098901099,0.02197802197802198,0.0,0.02197802197802198,0.01098901098901099,0.0,0.01098901098901099,0.0,0.0,0.01098901098901099,0.0,0.02197802197802198,0.01098901098901099,0.01098901098901099,0.0,0.0,0.02197802197802198,0.0,0.0,0.01098901098901099,0.06593406593406594,0.0,0.01098901098901099,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.01098901098901099,0.0,0.03296703296703297,0.0,0.01098901098901099,0.0,0.01098901098901099,0.02197802197802198,0.02197802197802198,0.0,0.01098901098901099,0.01098901098901099,0.02197802197802198,0.0,0.0
JD,2020,0.12389380530973451,0.07079646017699115,0.02654867256637168,0.02654867256637168,0.09734513274336283,0.008849557522123894,0.07964601769911504,0.0,0.017699115044247787,0.017699115044247787,0.0,0.04424778761061947,0.02654867256637168,0.0,0.02654867256637168,0.017699115044247787,0.035398230088495575,0.0,0.0,0.0,0.05309734513274336,0.008849557522123894,0.0,0.0,0.0,0.0,0.017699115044247787,0.0,0.017699115044247787,0.0,0.017699115044247787,0.0,0.0,0.017699115044247787,0.0,0.0,0.008849557522123894,0.05309734513274336,0.0,0.008849557522123894,0.0,0.0,0.0,0.017699115044247787,0.017699115044247787,0.008849557522123894,0.017699115044247787,0.0,0.035398230088495575,0.0,0.008849557522123894,0.008849557522123894,0.0,0.0,0.017699115044247787,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0
JD,2021,0.11594202898550725,0.08695652173913043,0.036231884057971016,0.014492753623188406,0.07246376811594203,0.0,0.09420289855072464,0.007246376811594203,0.021739130434782608,0.021739130434782608,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.0,0.043478260869565216,0.0,0.050724637681159424,0.007246376811594203,0.0,0.0,0.014492753623188406,0.007246376811594203,0.0,0.021739130434782608,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.007246376811594203,0.0,0.0,0.007246376811594203,0.043478260869565216,0.021739130434782608,0.007246376811594203,0.0,0.0,0.0,0.028985507246376812,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.014492753623188406,0.036231884057971016,0.007246376811594203,0.028985507246376812,0.014492753623188406,0.007246376811594203,0.0,0.007246376811594203,0.0,0.0,0.021739130434782608,0.007246376811594203,0.0,0.0
JD,2022,0.09210526315789473,0.11842105263157894,0.019736842105263157,0.013157894736842105,0.046052631578947366,0.006578947368421052,0.1513157894736842,0.006578947368421052,0.006578947368421052,0.019736842105263157,0.039473684210526314,0.03289473684210526,0.03289473684210526,0.006578947368421052,0.019736842105263157,0.013157894736842105,0.02631578947368421,0.019736842105263157,0.019736842105263157,0.0,0.006578947368421052,0.006578947368421052,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.006578947368421052,0.0,0.0,0.013157894736842105,0.0,0.0,0.006578947368421052,0.039473684210526314,0.006578947368421052,0.019736842105263157,0.0,0.0,0.0,0.006578947368421052,0.019736842105263157,0.006578947368421052,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.013157894736842105,0.013157894736842105,0.019736842105263157,0.0,0.03289473684210526,0.0
JD,2023,0.11538461538461539,0.0989010989010989,0.01098901098901099,0.01098901098901099,0.03296703296703297,0.0,0.12637362637362637,0.01098901098901099,0.027472527472527472,0.016483516483516484,0.03296703296703297,0.027472527472527472,0.02197802197802198,0.005494505494505495,0.02197802197802198,0.01098901098901099,0.038461538461538464,0.016483516483516484,0.016483516483516484,0.01098901098901099,0.016483516483516484,0.005494505494505495,0.0,0.005494505494505495,0.0,0.0,0.01098901098901099,0.0,0.005494505494505495,0.0,0.016483516483516484,0.005494505494505495,0.005494505494505495,0.01098901098901099,0.005494505494505495,0.01098901098901099,0.01098901098901099,0.03296703296703297,0.016483516483516484,0.016483516483516484,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.005494505494505495,0.04395604395604396,0.01098901098901099,0.005494505494505495,0.0,0.0,0.0,0.005494505494505495,0.016483516483516484,0.0,0.02197802197802198,0.005494505494505495,0.04395604395604396,0.0
JD,2024,0.08139534883720931,0.12209302325581395,0.023255813953488372,0.023255813953488372,0.03488372093023256,0.011627906976744186,0.12209302325581395,0.029069767441860465,0.023255813953488372,0.011627906976744186,0.03488372093023256,0.023255813953488372,0.01744186046511628,0.005813953488372093,0.01744186046511628,0.011627906976744186,0.029069767441860465,0.01744186046511628,0.0,0.005813953488372093,0.01744186046511628,0.011627906976744186,0.0,0.011627906976744186,0.0,0.005813953488372093,0.005813953488372093,0.0,0.01744186046511628,0.005813953488372093,0.023255813953488372,0.0,0.005813953488372093,0.005813953488372093,0.0,0.005813953488372093,0.005813953488372093,0.029069767441860465,0.005813953488372093,0.005813953488372093,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.01744186046511628,0.0,0.01744186046511628,0.03488372093023256,0.011627906976744186,0.005813953488372093,0.005813953488372093,0.0,0.005813953488372093,0.005813953488372093,0.01744186046511628,0.0,0.005813953488372093,0.011627906976744186,0.029069767441860465,0.0
MKS,2019,0.14074074074074075,0.05925925925925926,0.06666666666666667,0.05185185185185185,0.02962962962962963,0.0,0.0,0.02962962962962963,0.044444444444444446,0.014814814814814815,0.0,0.014814814814814815,0.007407407407407408,0.037037037037037035,0.014814814814814815,0.014814814814814815,0.0,0.007407407407407408,0.022222222222222223,0.022222222222222223,0.007407407407407408,0.022222222222222223,0.06666666666666667,0.014814814814814815,0.0,0.0,0.007407407407407408,0.05185185185185185,0.0,0.007407407407407408,0.014814814814814815,0.022222222222222223,0.007407407407407408,0.0,0.02962962962962963,0.007407407407407408,0.014814814814814815,0.0,0.0,0.014814814814814815,0.007407407407407408,0.02962962962962963,0.0,0.0,0.007407407407407408,0.0,0.0,0.014814814814814815,0.0,0.0,0.007407407407407408,0.014814814814814815,0.0,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.014814814814814815,0.007407407407407408,0.007407407407407408,0.0,0.0
MKS,2020,0.18292682926829268,0.06097560975609756,0.036585365853658534,0.042682926829268296,0.012195121951219513,0.012195121951219513,0.0,0.03048780487804878,0.012195121951219513,0.03048780487804878,0.0,0.06707317073170732,0.006097560975609756,0.018292682926829267,0.03048780487804878,0.006097560975609756,0.0,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.0,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.0,0.006097560975609756,0.006097560975609756,0.036585365853658534,0.006097560975609756,0.024390243902439025,0.006097560975609756,0.07317073170731707,0.0,0.012195121951219513,0.036585365853658534,0.0,0.012195121951219513,0.0,0.0,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.012195121951219513,0.0,0.0,0.0,0.006097560975609756,0.012195121951219513,0.012195121951219513,0.0,0.012195121951219513,0.006097560975609756,0.0,0.0
